Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
"BCO. CARIBE ""A""",ABC.A,"265,00","850,00","900,00","121,00","900,00","790,00","13,92","110,00","1.038,00","937.175,50","45,00","920,00","850,00",2026-01-08
"BCO. CARIBE ""A""",ABC.A,"1.100,00","1.000,00","1.103,95","1,00","1.103,95","900,00","22,66","203,95","52,00","52.815,30","10,00","1.103,95","920,00",2026-01-09
"BCO. CARIBE ""A""",ABC.A,"100,00","390,00","1.099,99","173,00","1.099,99","1.103,95","-0,36","-3,96","368,00","383.765,94","24,00","1.100,00","1.099,00",2026-01-13
"BCO. CARIBE ""A""",ABC.A,"119,00","1.090,00","1.098,00","3.306,00","1.097,99","1.099,99","-0,18","-2,00","285,00","313.247,83","28,00","1.100,00","1.090,00",2026-01-14
"BCO. CARIBE ""A""",ABC.A,"100,00","390,00","990,00","1.694,00","1.000,00","1.097,99","-8,92","-97,99","748,00","744.670,00","13,00","1.100,00","990,00",2026-01-15
"BCO. CARIBE ""A""",ABC.A,"100,00","390,00","990,00","1.010,00","989,99","1.000,00","-1,00","-10,01","306,00","302.119,41","36,00","1.000,00","901,00",2026-01-16
"BCO. CARIBE ""A""",ABC.A,"1,00","891,00","891,00","30,00","980,00","989,99","-1,01","-9,99","101,00","99.855,63","28,00","990,00","980,00",2026-01-20
"BCO. CARIBE ""A""",ABC.A,"100,00","390,00","900,00","1.632,00","900,00","989,99","-9,09","-89,99","457,00","437.152,26","37,00","1.000,00","893,00",2026-01-21
"BCO. CARIBE ""A""",ABC.A,"100,00","390,00","888,99","342,00","900,00","900,00","0,00","0,00","120,00","107.884,48","15,00","900,00","880,00",2026-01-22
"BCO. CARIBE ""A""",ABC.A,"0,00","0,00","874,00","1.686,00","900,00","900,00","0,00","0,00","75.115,00","67.600.370,74","18,00","889,00","855,00",2026-01-23
