Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
BCO.NAC.CREDITO,BNC,"163,00","1.060,00","1.078,75","814,00","1.078,75","1.089,00","-0,94","-10,25","13.722,00","14.557.347,00","124,00","1.200,00","1.060,00",2026-01-08
BCO.NAC.CREDITO,BNC,"256,00","1.210,00","1.250,00","4.372,00","1.250,00","1.078,75","15,87","171,25","54.626,00","68.251.174,74","89,00","1.250,00","1.095,01",2026-01-09
BCO.NAC.CREDITO,BNC,"118,00","1.205,00","1.239,00","2.152,00","1.240,00","1.250,00","-0,80","-10,00","2.675,00","3.256.609,07","79,00","1.250,00","1.205,00",2026-01-13
BCO.NAC.CREDITO,BNC,"1.033,00","1.078,75","1.239,98","3.910,00","1.200,00","1.240,00","-3,23","-40,00","3.676,00","4.474.384,18","92,00","1.250,00","1.200,00",2026-01-14
BCO.NAC.CREDITO,BNC,"1.000,00","900,00","1.099,90","1.319,00","1.189,90","1.200,00","-0,84","-10,10","1.013,00","1.161.314,85","38,00","1.244,00","1.099,90",2026-01-15
BCO.NAC.CREDITO,BNC,"1.114,00","1.000,00","1.079,50","2.179,00","1.079,49","1.189,90","-9,28","-110,41","1.842,00","2.117.487,32","129,00","1.200,00","1.079,49",2026-01-16
BCO.NAC.CREDITO,BNC,"1.052,00","975,00","989,00","2.178,00","990,00","1.079,49","-8,29","-89,49","2.836,00","2.870.121,61","171,00","1.070,00","980,00",2026-01-20
BCO.NAC.CREDITO,BNC,"2,00","891,00","891,00","26,00","891,50","990,00","-9,95","-98,50","11.599,00","10.533.597,93","118,00","999,95","891,50",2026-01-21
BCO.NAC.CREDITO,BNC,"271,00","812,00","840,00","1.192,00","840,00","891,50","-5,78","-51,50","15.694,00","12.815.093,20","118,00","890,00","811,00",2026-01-22
BCO.NAC.CREDITO,BNC,"3.516,00","860,00","870,00","938,00","870,00","840,00","3,57","30,00","20.050,00","15.836.661,80","149,00","880,00","757,00",2026-01-23
BCO.NAC.CREDITO,BNC,"1.957,00","885,00","910,00","3.382,00","880,00","870,00","1,15","10,00","10.423,00","8.634.895,00","121,00","945,00","840,00",2026-01-26
BCO.NAC.CREDITO,BNC,"5.250,00","875,00","878,00","3.332,00","878,00","880,00","-0,23","-2,00","10.503,00","9.225.670,00","134,00","880,00","860,00",2026-01-27
BCO.NAC.CREDITO,BNC,"1.937,00","850,00","877,00","2.906,00","875,00","878,00","-0,34","-3,00","6.012,00","4.944.141,25","106,00","960,00","795,00",2026-01-28
BCO.NAC.CREDITO,BNC,"322,00","900,00","930,00","1.401,00","925,50","875,00","5,77","50,50","10.880,00","9.724.527,84","67,00","930,00","850,01",2026-01-29
BCO.NAC.CREDITO,BNC,"3.961,00","1.015,00","1.099,00","185,00","1.015,00","925,50","9,67","89,50","6.370,00","6.148.031,00","80,00","1.015,00","925,00",2026-01-30
BCO.NAC.CREDITO,BNC,"1.046,00","1.116,40","1.150,00","174,00","1.116,00","1.015,00","9,95","101,00","1.931,00","2.106.412,53","70,00","1.116,41","1.050,00",2026-02-02
BCO.NAC.CREDITO,BNC,"1.246,00","1.227,41","1.300,00","158,00","1.208,00","1.116,00","8,24","92,00","2.586.068,00","2.311.010.820,54","52,00","1.227,40","1.116,00",2026-02-03
BCO.NAC.CREDITO,BNC,"1.621,00","1.328,80","1.330,00","251,00","1.328,06","1.208,00","9,94","120,06","2.580.347,00","2.182.490.205,40","25,00","1.328,75","1.300,06",2026-02-04
BCO.NAC.CREDITO,BNC,"1.392,00","1.460,57","1.580,00","175,00","1.460,57","1.328,06","9,98","132,51","2.140.876,00","1.995.105.235,90","101,00","1.460,57","1.330,00",2026-02-05
BCO.NAC.CREDITO,BNC,"185,00","1.580,00","1.590,02","2.062,00","1.580,00","1.460,57","8,18","119,43","10.937,00","16.141.392,53","163,00","1.606,50","1.460,50",2026-02-06
BCO.NAC.CREDITO,BNC,"6.706,00","1.330,00","1.529,00","3.028,00","1.530,00","1.580,00","-3,16","-50,00","3.333,00","5.100.291,90","129,00","1.700,00","1.330,00",2026-02-09
BCO.NAC.CREDITO,BNC,"410,00","1.305,00","1.320,00","3.680,00","1.319,50","1.530,00","-13,76","-210,50","14.086,00","18.763.890,92","111,00","1.534,00","1.300,00",2026-02-10
BCO.NAC.CREDITO,BNC,"1.164,00","1.306,00","1.315,00","12.853,00","1.315,00","1.319,50","-0,34","-4,50","2.830,00","3.768.556,60","76,00","1.530,00","1.306,00",2026-02-11
BCO.NAC.CREDITO,BNC,"3.122,00","1.295,00","1.300,00","3.293,00","1.300,00","1.315,00","-1,14","-15,00","12.809,00","16.062.466,00","100,00","1.319,00","1.200,00",2026-02-12
BCO.NAC.CREDITO,BNC,"1.927,00","1.300,00","1.350,00","4.884,00","1.350,00","1.300,00","3,85","50,00","4.432,00","5.925.619,98","153,00","1.400,00","1.210,00",2026-02-13
BCO.NAC.CREDITO,BNC,"1.878,00","1.400,00","1.520,00","1.965,00","1.510,00","1.350,00","11,85","160,00","11.264,00","17.047.265,00","154,00","1.600,00","1.350,00",2026-02-18
BCO.NAC.CREDITO,BNC,"2.782,00","1.450,00","1.500,00","4.159,00","1.500,00","1.510,00","-0,66","-10,00","4.064,00","6.103.067,98","103,00","1.700,00","1.405,00",2026-02-19
BCO.NAC.CREDITO,BNC,"1.344,00","1.516,00","1.588,50","1.728,00","1.589,00","1.500,00","5,93","89,00","2.580,00","4.057.309,50","120,00","1.600,00","1.500,00",2026-02-20
BCO.NAC.CREDITO,BNC,"2.663,00","1.650,00","1.779,00","1.667,00","1.700,00","1.589,00","6,99","111,00","6.139,00","9.732.594,91","135,00","1.779,00","1.550,00",2026-02-23
BCO.NAC.CREDITO,BNC,"326,00","1.800,00","1.835,00","5.527,00","1.800,00","1.700,00","5,88","100,00","7.245,00","13.067.641,30","91,00","1.897,00","1.700,00",2026-02-24
BCO.NAC.CREDITO,BNC,"104,00","1.850,00","1.877,00","3.347,00","1.878,00","1.800,00","4,33","78,00","4.214,00","7.837.347,38","105,00","1.897,99","1.800,00",2026-02-25
BCO.NAC.CREDITO,BNC,"4.351,00","1.750,00","1.800,00","5.169,00","1.800,00","1.878,00","-4,15","-78,00","2.333.479,00","2.634.733.066,00","113,00","1.898,00","1.650,00",2026-02-26
BCO.NAC.CREDITO,BNC,"325,00","1.780,00","1.800,00","3.716,00","1.800,00","1.800,00","0,00","0,00","3.511,00","5.980.577,80","123,00","1.865,00","1.760,00",2026-02-27
BCO.NAC.CREDITO,BNC,"2.628,00","1.790,00","1.795,00","4.818,00","1.795,00","1.800,00","-0,28","-5,00","3.634,00","6.477.334,71","158,00","1.850,00","1.500,00",2026-03-02
BCO.NAC.CREDITO,BNC,"5.396,00","1.750,00","1.774,00","4.944,00","1.774,00","1.795,00","-1,17","-21,00","310.415,00","341.105.073,00","133,00","1.800,00","1.750,00",2026-03-03
BCO.NAC.CREDITO,BNC,"3.722,00","1.701,00","1.720,00","2.092,00","1.720,00","1.774,00","-3,04","-54,00","10.805,00","18.643.268,02","143,00","1.799,00","1.701,00",2026-03-04
BCO.NAC.CREDITO,BNC,"5.146,00","1.655,55","1.700,00","2.462,00","1.700,00","1.720,00","-1,16","-20,00","406.065,00","441.243.818,81","128,00","1.799,99","1.685,00",2026-03-05
BCO.NAC.CREDITO,BNC,"2.133,00","1.730,00","1.830,00","6.220,00","1.750,00","1.700,00","2,94","50,00","6.982,00","12.098.252,94","111,00","1.895,00","1.700,00",2026-03-06
BCO.NAC.CREDITO,BNC,"1.679,00","1.796,99","1.800,00","4.137,00","1.770,00","1.750,00","1,14","20,00","2.538,00","4.498.194,39","118,00","1.825,00","1.750,00",2026-03-09
