Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
"PIVCA CLASE ""B""",PIV.B,"0,00","0,00","0,00","0,00","29.747,50","24.790,00","20,00","4.957,50","5,00","148.737,50","3,00","29.747,50","29.747,50",2026-01-09
"PIVCA CLASE ""B""",PIV.B,"0,00","0,00","0,00","0,00","28.855,00","29.747,50","-3,00","-892,50","12,00","350.723,50","4,00","29.748,00","28.855,00",2026-01-13
"PIVCA CLASE ""B""",PIV.B,"0,00","0,00","28.855,00","4,00","28.855,00","28.855,00","0,00","0,00","1,00","28.855,00","1,00","28.855,00","28.855,00",2026-01-14
"PIVCA CLASE ""B""",PIV.B,"2,00","27.000,00","28.851,50","26,00","28.855,00","28.855,00","0,00","0,00","4,00","103.880,00","1,00","0,00","0,00",2026-01-16
"PIVCA CLASE ""B""",PIV.B,"10,00","23.500,00","28.847,00","21,00","28.855,00","28.855,00","0,00","0,00","3,00","77.908,50","3,00","25.969,50","25.969,50",2026-01-20
"PIVCA CLASE ""B""",PIV.B,"0,00","0,00","28.848,00","8,00","28.855,00","28.855,00","0,00","0,00","3,00","77.908,65","2,00","25.969,55","25.969,55",2026-01-21
"PIVCA CLASE ""B""",PIV.B,"0,00","0,00","27.978,00","39,00","25.969,55","28.855,00","-10,00","-2.885,45","6,00","161.903,64","5,00","28.000,00","25.969,55",2026-01-22
"PIVCA CLASE ""B""",PIV.B,"5,00","23.373,50","26.999,00","15,00","25.969,55","25.969,55","0,00","0,00","2,00","53.000,00","2,00","27.000,00","26.000,00",2026-01-23
"PIVCA CLASE ""B""",PIV.B,"0,00","0,00","25.969,00","23,00","23.373,00","25.969,55","-10,00","-2.596,55","30,00","741.407,50","5,00","23.500,00","23.373,00",2026-01-26
"PIVCA CLASE ""B""",PIV.B,"30,00","21.500,00","22.500,00","33,00","23.373,00","23.373,00","0,00","0,00","60,00","1.496.746,00","3,00","23.373,00","23.373,00",2026-01-27
"PIVCA CLASE ""B""",PIV.B,"9,00","21.100,00","25.709,00","27,00","23.373,00","23.373,00","0,00","0,00","12,00","267.659,00","6,00","23.500,00","21.036,00",2026-01-28
"PIVCA CLASE ""B""",PIV.B,"76,00","21.150,05","25.000,00","43,00","23.373,00","23.373,00","0,00","0,00","6,00","140.238,00","2,00","23.373,00","23.373,00",2026-01-29
"PIVCA CLASE ""B""",PIV.B,"30,00","25.700,00","25.969,00","22,00","22.500,00","23.373,00","-3,74","-873,00","21,00","488.545,00","3,00","25.709,00","22.500,00",2026-01-30
"PIVCA CLASE ""B""",PIV.B,"100,00","21.000,00","24.749,00","1,00","22.500,00","22.500,00","0,00","0,00","6,00","146.745,00","3,00","24.749,00","23.000,00",2026-02-02
"PIVCA CLASE ""B""",PIV.B,"108,00","24.750,00","0,00","0,00","24.749,00","22.500,00","10,00","2.249,00","10,00","247.490,00","3,00","24.749,00","24.749,00",2026-02-03
"PIVCA CLASE ""B""",PIV.B,"100,00","22.501,00","27.220,00","26,00","24.749,00","24.749,00","0,00","0,00","6,00","148.499,00","3,00","24.750,00","24.749,00",2026-02-04
"PIVCA CLASE ""B""",PIV.B,"52,00","25.000,00","0,00","0,00","27.220,00","24.749,00","9,98","2.471,00","6,00","163.320,00","3,00","27.220,00","27.220,00",2026-02-05
"PIVCA CLASE ""B""",PIV.B,"41,00","29.900,00","0,00","0,00","29.901,00","27.220,00","9,85","2.681,00","37,00","1.100.310,00","5,00","29.901,00","29.500,00",2026-02-06
"PIVCA CLASE ""B""",PIV.B,"15,00","27.250,00","34.900,00","134,00","29.901,00","29.901,00","0,00","0,00","2,00","64.900,00","2,00","34.999,00","29.901,00",2026-02-09
"PIVCA CLASE ""B""",PIV.B,"13,00","25.500,00","29.500,00","39,00","29.900,00","29.901,00","0,00","-1,00","27,00","794.123,00","5,00","29.901,00","25.500,00",2026-02-10
"PIVCA CLASE ""B""",PIV.B,"103,00","27.000,00","31.500,00","101,00","30.000,00","29.900,00","0,33","100,00","11,00","342.000,00","7,00","33.000,00","30.000,00",2026-02-13
"PIVCA CLASE ""B""",PIV.B,"27,00","29.000,00","30.000,00","145,00","29.500,00","30.000,00","-1,67","-500,00","150,00","4.492.000,00","4,00","30.000,00","29.000,00",2026-02-18
"PIVCA CLASE ""B""",PIV.B,"28,00","27.500,00","33.000,00","12,00","33.000,00","29.500,00","11,86","3.500,00","30,00","919.350,00","5,00","33.000,00","29.000,00",2026-02-19
"PIVCA CLASE ""B""",PIV.B,"71,00","29.005,00","31.000,00","22,00","27.500,00","33.000,00","-16,67","-5.500,00","15,00","412.500,00","1,00","27.500,00","27.500,00",2026-02-20
