Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
RON STA. TERESA,RST,"1.964,00","220,01","0,00","0,00","220,01","197,00","11,68","23,01","626,00","142.255,64","23,00","230,00","220,00",2026-01-08
RON STA. TERESA,RST,"235,00","264,99","300,00","967,00","300,00","220,01","36,36","79,99","5.286.172,00","938.361.254,00","15,00","300,00","264,99",2026-01-09
RON STA. TERESA,RST,"44,00","330,00","330,00","300,00","322,00","300,00","7,33","22,00","5.181,00","1.660.578,82","69,00","322,00","300,00",2026-01-13
RON STA. TERESA,RST,"618,00","340,00","348,99","5.089,00","349,00","322,00","8,39","27,00","40.441,00","13.451.598,37","114,00","350,00","329,01",2026-01-14
RON STA. TERESA,RST,"67,00","320,00","348,00","4.052,00","348,00","349,00","-0,29","-1,00","5.426,00","1.880.789,90","73,00","349,00","315,00",2026-01-15
RON STA. TERESA,RST,"440,00","320,00","324,90","4.734,00","329,85","348,00","-5,22","-18,15","5.186,00","1.735.032,82","180,00","348,00","315,00",2026-01-16
RON STA. TERESA,RST,"0,00","0,00","303,90","3.326,00","305,00","329,85","-7,53","-24,85","4.206,00","1.326.206,18","186,00","332,49","300,00",2026-01-20
RON STA. TERESA,RST,"0,00","0,00","274,49","4.099,00","274,49","305,00","-10,00","-30,51","9.916,00","2.873.584,47","126,00","303,89","274,49",2026-01-21
RON STA. TERESA,RST,"28,00","243,00","247,49","11.679,00","247,50","274,49","-9,83","-26,99","19.514,00","4.834.781,35","101,00","274,49","247,10",2026-01-22
RON STA. TERESA,RST,"0,00","0,00","237,00","36.089,00","242,00","247,50","-2,22","-5,50","4.064,00","985.624,68","124,00","247,50","235,00",2026-01-23
RON STA. TERESA,RST,"4,00","235,00","238,00","63,00","217,00","242,00","-10,33","-25,00","13.141,00","3.042.873,45","110,00","241,00","217,00",2026-01-26
RON STA. TERESA,RST,"408,00","209,00","213,99","9.596,00","213,99","230,00","-6,96","-16,01","42.076,00","9.123.404,54","167,00","240,99","208,00",2026-01-27
RON STA. TERESA,RST,"8.278,00","210,00","212,99","35.483,00","213,98","213,99","0,00","-0,01","15.892,00","3.244.615,45","121,00","213,99","195,00",2026-01-28
RON STA. TERESA,RST,"7.483,00","230,00","233,49","9.831,00","233,49","213,98","9,12","19,51","8.084,00","1.745.647,45","124,00","233,50","198,00",2026-01-29
