Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
CORIMON C.A.,CRM.A,"240,00","270,00","389,00","338,00","375,00","330,00","13,64","45,00","1.312,00","500.375,00","12,00","390,00","375,00",2026-01-08
CORIMON C.A.,CRM.A,"4,00","400,00","450,00","545,00","450,00","375,00","20,00","75,00","75,00","30.250,00","2,00","450,00","450,00",2026-01-09
CORIMON C.A.,CRM.A,"66,00","495,00","495,00","1.100,00","494,90","450,00","9,98","44,90","86,00","41.214,40","6,00","494,90","450,00",2026-01-13
CORIMON C.A.,CRM.A,"204,00","430,00","449,00","595,00","449,00","450,00","-0,22","-1,00","565,00","253.740,00","17,00","450,00","430,00",2026-01-14
CORIMON C.A.,CRM.A,"835,00","410,00","448,99","510,00","449,00","449,00","0,00","0,00","38,00","16.828,00","8,00","449,00","410,00",2026-01-15
CORIMON C.A.,CRM.A,"319,00","405,00","428,00","2.223,00","410,00","449,00","-8,69","-39,00","1.065,00","446.192,74","31,00","430,00","405,00",2026-01-16
CORIMON C.A.,CRM.A,"349,00","370,00","393,80","5.665,00","392,00","410,00","-4,39","-18,00","610,00","239.350,12","31,00","405,00","370,00",2026-01-20
CORIMON C.A.,CRM.A,"215,00","353,00","355,00","2.161,00","355,00","392,00","-9,44","-37,00","651,00","236.818,00","17,00","392,00","355,00",2026-01-21
CORIMON C.A.,CRM.A,"505,00","319,70","354,50","1.572,00","320,00","355,00","-9,86","-35,00","630,00","211.723,30","17,00","360,00","319,70",2026-01-22
CORIMON C.A.,CRM.A,"527,00","325,00","360,00","30,00","320,00","320,00","0,00","0,00","174,00","56.620,00","12,00","330,00","325,00",2026-01-23
CORIMON C.A.,CRM.A,"75,00","289,00","310,00","224,00","320,00","320,00","0,00","0,00","633,00","201.044,18","23,00","325,00","309,99",2026-01-26
CORIMON C.A.,CRM.A,"51,00","290,00","320,00","374,00","312,00","320,00","-2,50","-8,00","607,00","191.531,00","25,00","325,00","289,00",2026-01-27
CORIMON C.A.,CRM.A,"81,00","300,54","320,00","156,00","312,00","312,00","0,00","0,00","379,00","118.225,00","17,00","320,00","309,50",2026-01-28
CORIMON C.A.,CRM.A,"236,00","320,01","325,00","58,00","320,01","312,00","2,57","8,01","20.083,00","6.427.020,00","17,00","325,00","320,00",2026-01-29
