Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
"F.PETROLIA ""B""",PCP.B,"1.109,00","220,02","0,00","0,00","218,00","184,00","18,48","34,00","1.913,00","417.226,96","15,00","220,01","218,00",2026-01-08
"F.PETROLIA ""B""",PCP.B,"947,00","230,00","260,00","92,00","260,00","218,00","19,27","42,00","4.958,00","1.289.080,00","34,00","260,00","260,00",2026-01-09
"F.PETROLIA ""B""",PCP.B,"1.509,00","285,00","360,00","50,00","285,00","260,00","9,62","25,00","3.166,00","872.853,62","98,00","285,00","259,99",2026-01-13
"F.PETROLIA ""B""",PCP.B,"578,00","293,00","305,00","1.136,00","310,00","285,00","8,77","25,00","1.949,00","589.572,87","73,00","310,00","285,01",2026-01-14
"F.PETROLIA ""B""",PCP.B,"309,00","260,00","299,00","2.910,00","298,00","310,00","-3,87","-12,00","1.121,00","336.333,00","47,00","310,00","290,00",2026-01-15
"F.PETROLIA ""B""",PCP.B,"281,00","270,00","295,00","4.128,00","280,00","298,00","-6,04","-18,00","1.901,00","559.534,00","133,00","320,00","269,00",2026-01-16
"F.PETROLIA ""B""",PCP.B,"308,00","270,00","280,00","2.042,00","280,00","280,00","0,00","0,00","2.936,00","839.521,20","158,00","290,00","270,00",2026-01-20
"F.PETROLIA ""B""",PCP.B,"180,00","113,00","276,00","1.905,00","276,00","280,00","-1,43","-4,00","768,00","211.273,70","64,00","290,00","253,00",2026-01-21
"F.PETROLIA ""B""",PCP.B,"200,00","249,99","270,00","1.571,00","274,00","276,00","-0,72","-2,00","953,00","260.760,22","71,00","276,00","250,00",2026-01-22
"F.PETROLIA ""B""",PCP.B,"693,00","274,00","280,00","1.461,00","280,00","274,00","2,19","6,00","2.827,00","792.615,19","100,00","300,00","264,63",2026-01-23
