Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
"R.S.TERESA ""B""",RST.B,"3.673,00","220,00","0,00","0,00","220,00","183,98","19,58","36,02","2.467,00","542.740,00","25,00","220,00","220,00",2026-01-08
"R.S.TERESA ""B""",RST.B,"20,00","222,00","264,00","1,00","264,00","220,00","20,00","44,00","9,00","2.376,00","2,00","264,00","264,00",2026-01-09
"R.S.TERESA ""B""",RST.B,"5,00","275,00","280,00","1.378,00","274,00","264,00","3,79","10,00","2.970,00","794.276,00","61,00","280,00","264,00",2026-01-13
"R.S.TERESA ""B""",RST.B,"185,00","285,00","300,00","889,00","300,00","274,00","9,49","26,00","2.489,00","717.510,96","43,00","300,01","280,00",2026-01-14
"R.S.TERESA ""B""",RST.B,"86,00","285,00","297,99","4.153,00","291,00","300,00","-3,00","-9,00","1.621,00","476.715,15","28,00","300,00","290,00",2026-01-15
"R.S.TERESA ""B""",RST.B,"44,00","265,00","287,95","1.914,00","288,00","291,00","-1,03","-3,00","1.381,00","398.533,84","67,00","299,00","263,00",2026-01-16
"R.S.TERESA ""B""",RST.B,"0,00","0,00","260,00","882,00","287,95","288,00","-0,02","-0,05","667,00","186.191,85","69,00","300,00","260,00",2026-01-20
"R.S.TERESA ""B""",RST.B,"0,00","0,00","260,00","1.800,00","287,95","287,95","0,00","0,00","1.428,00","402.977,85","54,00","295,00","260,00",2026-01-21
"R.S.TERESA ""B""",RST.B,"0,00","0,00","273,00","4.746,00","270,00","287,95","-6,23","-17,95","1.367,00","372.459,20","56,00","274,49","260,00",2026-01-22
"R.S.TERESA ""B""",RST.B,"0,00","0,00","255,00","1.230,00","270,00","270,00","0,00","0,00","591,00","157.064,24","46,00","270,00","262,00",2026-01-23
"R.S.TERESA ""B""",RST.B,"0,00","0,00","250,54","3.961,00","270,00","270,00","0,00","0,00","427,00","111.457,37","44,00","269,00","250,00",2026-01-26
"R.S.TERESA ""B""",RST.B,"0,00","0,00","243,49","3.946,00","270,00","270,00","0,00","0,00","10.052,00","2.450.211,98","45,00","257,00","243,50",2026-01-27
"R.S.TERESA ""B""",RST.B,"0,00","0,00","249,95","6.657,00","254,00","270,00","-5,93","-16,00","754,00","191.089,64","45,00","258,00","245,00",2026-01-28
"R.S.TERESA ""B""",RST.B,"4,00","243,10","247,99","19.986,00","248,00","254,00","-2,36","-6,00","811,00","201.474,25","33,00","250,00","243,10",2026-01-29
"R.S.TERESA ""B""",RST.B,"5.013,00","230,00","245,00","2.312,00","244,00","248,00","-1,61","-4,00","5.817,00","1.387.315,33","50,00","247,99","235,00",2026-01-30
"R.S.TERESA ""B""",RST.B,"3.299,00","249,50","256,00","30.458,00","256,00","244,00","4,92","12,00","3.793,00","948.012,50","69,00","256,00","245,00",2026-02-02
"R.S.TERESA ""B""",RST.B,"2.500,00","281,15","304,98","17.560,00","281,15","256,00","9,82","25,15","12.028,00","3.377.506,35","37,00","281,20","256,00",2026-02-03
"R.S.TERESA ""B""",RST.B,"5.386,00","340,00","370,00","100,00","340,00","281,15","20,93","58,85","25.146,00","8.522.566,00","44,00","340,00","300,00",2026-02-04
"R.S.TERESA ""B""",RST.B,"6.552,00","410,20","430,00","100,00","400,00","340,00","17,65","60,00","19.742,00","7.806.529,90","69,00","400,00","360,00",2026-02-05
"R.S.TERESA ""B""",RST.B,"481,00","400,00","420,00","1.648,00","405,00","400,00","1,25","5,00","7.293,00","3.006.262,00","57,00","430,00","400,00",2026-02-06
"R.S.TERESA ""B""",RST.B,"25.517,00","370,01","419,00","7.687,00","410,00","405,00","1,23","5,00","11.658,00","4.963.099,30","101,00","470,00","350,00",2026-02-09
"R.S.TERESA ""B""",RST.B,"10.449,00","369,08","400,00","8.071,00","400,00","410,00","-2,44","-10,00","1.044,00","407.546,00","59,00","420,00","335,00",2026-02-10
"R.S.TERESA ""B""",RST.B,"7.587,00","370,00","400,00","8.780,00","400,00","400,00","0,00","0,00","224,00","87.684,90","33,00","400,00","325,00",2026-02-11
"R.S.TERESA ""B""",RST.B,"5.075,00","390,00","398,98","11.106,00","398,00","400,00","-0,50","-2,00","707,00","280.931,95","42,00","400,00","370,00",2026-02-12
"R.S.TERESA ""B""",RST.B,"10.173,00","390,00","397,98","4.678,00","397,99","398,00","0,00","-0,01","1.422,00","566.703,15","62,00","398,99","378,98",2026-02-13
"R.S.TERESA ""B""",RST.B,"5.066,00","395,00","397,99","2.905,00","398,00","397,99","0,00","0,01","1.249,00","497.100,68","71,00","398,00","397,99",2026-02-18
"R.S.TERESA ""B""",RST.B,"15.896,00","393,00","394,99","10.529,00","393,00","398,00","-1,26","-5,00","2.192,00","860.764,73","70,00","398,00","340,00",2026-02-19
"R.S.TERESA ""B""",RST.B,"10.833,00","369,90","393,00","13.548,00","381,00","393,00","-3,05","-12,00","2.043,00","801.726,03","56,00","397,99","369,90",2026-02-20
