Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
FAB.N.CEMENTOS,FNC,"320,00","204,00","300,00","100,00","204,00","172,00","18,60","32,00","1.093,00","221.316,00","41,00","205,00","172,00",2026-01-08
FAB.N.CEMENTOS,FNC,"1.634,00","244,00","300,00","100,00","244,00","204,00","19,61","40,00","317,00","77.151,30","5,00","244,10","244,00",2026-01-09
FAB.N.CEMENTOS,FNC,"181,00","0,00","300,00","100,00","250,00","244,00","2,46","6,00","866,00","217.224,00","31,00","268,00","244,00",2026-01-13
FAB.N.CEMENTOS,FNC,"390,00","266,00","300,00","100,00","266,00","250,00","6,40","16,00","1.496,00","397.178,00","38,00","267,00","252,00",2026-01-14
FAB.N.CEMENTOS,FNC,"0,00","0,00","260,00","874,00","266,00","266,00","0,00","0,00","285,00","75.288,00","15,00","266,00","260,00",2026-01-15
FAB.N.CEMENTOS,FNC,"0,00","0,00","264,00","138,00","263,99","266,00","-0,76","-2,01","1.659,00","430.063,00","48,00","292,50","240,00",2026-01-16
FAB.N.CEMENTOS,FNC,"12,00","263,99","266,00","566,00","255,00","263,99","-3,41","-8,99","1.087,00","283.797,45","52,00","266,00","254,99",2026-01-20
FAB.N.CEMENTOS,FNC,"1,00","240,00","255,00","673,00","255,00","255,00","0,00","0,00","408,00","105.594,36","28,00","263,99","255,00",2026-01-21
FAB.N.CEMENTOS,FNC,"101,00","245,00","265,00","792,00","255,00","255,00","0,00","0,00","699,00","180.099,40","40,00","280,00","245,00",2026-01-22
FAB.N.CEMENTOS,FNC,"800,00","235,00","250,00","466,00","255,00","255,00","0,00","0,00","371,00","93.730,00","48,00","280,00","250,00",2026-01-23
FAB.N.CEMENTOS,FNC,"55,00","240,00","279,00","300,00","255,00","255,00","0,00","0,00","423,00","107.865,00","30,00","255,00","255,00",2026-01-26
FAB.N.CEMENTOS,FNC,"504,00","255,00","277,00","258,00","230,00","255,00","-9,80","-25,00","736,00","176.104,00","28,00","277,00","230,00",2026-01-27
FAB.N.CEMENTOS,FNC,"632,00","242,54","252,00","1.402,00","241,00","230,00","4,78","11,00","1.874,00","456.637,00","30,00","250,00","208,00",2026-01-28
FAB.N.CEMENTOS,FNC,"432,00","241,00","265,00","1.284,00","240,00","241,00","-0,41","-1,00","737,00","177.334,00","18,00","255,00","240,00",2026-01-29
