Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
MERCANTIL S.(A),MVZ.A,"770,00","4.800,00","0,00","0,00","4.379,00","4.000,00","9,48","379,00","104,00","483.983,56","15,00","4.750,00","4.379,00",2026-01-08
MERCANTIL S.(A),MVZ.A,"747,00","5.254,80","6.000,00","10,00","4.379,00","4.379,00","0,00","0,00","105,00","551.250,00","5,00","0,00","0,00",2026-01-09
MERCANTIL S.(A),MVZ.A,"133,00","4.550,00","4.798,00","1.282,00","4.798,00","4.379,00","9,57","419,00","370,00","1.712.470,00","28,00","4.800,00","4.500,00",2026-01-13
MERCANTIL S.(A),MVZ.A,"278,00","4.900,00","5.277,00","11,00","5.000,00","4.798,00","4,21","202,00","248,00","1.239.011,50","31,00","5.277,00","4.550,00",2026-01-14
MERCANTIL S.(A),MVZ.A,"270,00","3.500,00","4.999,00","574,00","4.850,00","5.000,00","-3,00","-150,00","53,00","256.848,00","15,00","5.000,00","4.550,00",2026-01-15
MERCANTIL S.(A),MVZ.A,"270,00","3.500,00","4.788,50","453,00","4.500,00","4.850,00","-7,22","-350,00","88,00","412.481,00","24,00","4.900,00","4.400,00",2026-01-16
MERCANTIL S.(A),MVZ.A,"272,00","4.051,00","4.499,99","109,00","4.250,00","4.500,00","-5,56","-250,00","672,00","3.010.717,74","31,00","4.690,00","4.200,00",2026-01-20
MERCANTIL S.(A),MVZ.A,"288,00","3.900,00","4.320,00","946,00","4.250,00","4.250,00","0,00","0,00","118,00","498.311,00","34,00","4.590,00","3.870,00",2026-01-21
MERCANTIL S.(A),MVZ.A,"287,00","3.870,00","3.900,00","647,00","3.900,00","4.250,00","-8,24","-350,00","1.611,00","6.406.392,02","32,00","4.250,00","3.870,00",2026-01-22
MERCANTIL S.(A),MVZ.A,"459,00","3.511,00","3.850,00","2.818,00","3.850,00","3.900,00","-1,28","-50,00","3.443,00","13.416.867,01","36,00","4.200,00","3.850,00",2026-01-23
MERCANTIL S.(A),MVZ.A,"245,00","3.900,00","4.000,00","769,00","4.000,00","3.850,00","3,90","150,00","275,00","1.080.500,00","11,00","4.000,00","3.900,00",2026-01-26
MERCANTIL S.(A),MVZ.A,"751,00","3.605,00","3.998,00","1.443,00","3.998,00","4.000,00","-0,05","-2,00","2.224,00","8.832.105,40","29,00","3.998,00","3.680,50",2026-01-27
