Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2026-01-08,1.233,1.464,1.249,1.249
2026-01-09,1.234,1.481,1.340,1.446
2026-01-13,1.386,1.479,1.386,1.479
2026-01-14,1.457,1.578,1.457,1.457
2026-01-15,1.457,1.457,1.426,1.457
2026-01-16,1.419,1.360,1.301,1.301
2026-01-20,1.301,1.271,1.182,1.301
2026-01-21,1.291,1.247,1.173,1.291
2026-01-22,1.291,1.241,1.162,1.173
2026-01-23,1.155,1.155,1.123,1.155
2026-01-26,1.155,1.267,1.054,1.155
2026-01-27,1.137,1.208,1.038,1.137
2026-01-28,1.137,1.137,1.026,1.094
2026-01-29,1.094,1.137,1.052,1.134
2026-01-30,1.115,1.187,1.115,1.187
2026-02-02,1.187,1.232,1.187,1.226
2026-02-03,1.189,1.301,1.191,1.300
2026-02-04,1.300,1.428,1.300,1.427
2026-02-05,1.420,1.557,1.428,1.509
2026-02-06,1.509,1.657,1.616,1.643
2026-02-09,1.616,1.695,1.637,1.693
2026-02-10,1.663,1.663,1.509,1.613
2026-02-11,1.613,1.663,1.624,1.626
2026-02-12,1.612,1.609,1.596,1.612
2026-02-13,1.605,1.593,1.297,1.587
2026-02-18,1.576,1.586,1.288,1.568
2026-02-19,1.555,1.568,1.295,1.543
2026-02-20,1.543,1.568,1.277,1.566
2026-02-23,1.556,1.556,1.333,1.546
2026-02-24,1.533,1.545,1.346,1.395
2026-02-25,1.363,1.509,1.229,1.411
2026-02-26,1.401,1.473,1.401,1.401
2026-02-27,1.390,1.450,1.390,1.390
2026-03-02,1.383,1.550,1.383,1.407
2026-03-03,1.400,1.472,1.377,1.400
2026-03-04,1.389,1.648,1.389,1.462
2026-03-05,1.452,1.648,1.625,1.636
2026-03-06,1.624,1.636,1.415,1.622
2026-03-09,1.607,1.920,1.607,1.793
2026-03-10,1.788,1.788,1.777,1.788
2026-03-11,1.780,1.780,1.643,1.712
2026-03-12,1.701,1.758,1.633,1.701
2026-03-13,1.692,1.760,1.625,1.692
2026-03-16,1.681,1.793,1.524,1.614
2026-03-17,1.606,1.696,1.560,1.606
2026-03-18,1.595,1.595,1.440,1.595
2026-03-20,1.582,1.670,1.538,1.549
2026-03-23,1.543,1.838,1.575,1.580
2026-03-24,1.571,1.806,1.480,1.804
2026-03-25,1.792,1.794,1.557,1.557
2026-03-26,1.543,1.777,1.329,1.543
2026-03-27,1.536,1.761,1.323,1.536
2026-03-30,1.526,1.747,1.526,1.526
2026-03-31,1.526,1.738,1.230,1.737
2026-04-01,1.729,1.730,1.435,1.729
2026-04-06,1.727,1.897,1.475,1.728
2026-04-07,1.728,1.848,1.490,1.580
