fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,PGR,46.3,0.0,93509.64,--
2025-11-28,PGR,48.5,2.2,87785.86,--
2025-12-01,PGR,44.5,-4.0,74807.94,--
2025-12-02,PGR,50.0,5.5,1867822.28,--
2025-12-03,PGR,48.5,-1.5,38791.76,--
2025-12-04,PGR,49.8,1.3,7614691.40,--
2025-12-06,PGR,49.4,-0.4,36455.83,--
2025-12-09,PGR,49.99,0.59,50101.69,--
2025-12-10,PGR,49.95,-0.04,76544.58,--
2025-12-11,PGR,49.9,-0.05,33242.58,--
2025-12-13,PGR,49.0,-0.9,111259.04,--
2025-12-15,PGR,49.15,0.15,108658.33,--
2025-12-16,PGR,47.0,-2.15,230651.70,--
2025-12-17,PGR,46.99,-0.01,88207.39,--
2025-12-18,PGR,46.5,-0.49,34130.65,--
2025-12-19,PGR,47.0,0.5,235820.00,--
2025-12-22,PGR,48.0,1.0,171795.90,--
2025-12-23,PGR,48.99,0.99,25447.79,--
2025-12-29,PGR,50.0,1.01,1078089.00,--
2025-12-30,PGR,70.0,20.0,47869.60,--
2026-01-02,PGR,70.0,0.0,370740.00,13:00:10
2026-01-05,PGR,81.99,11.99,1138650.71,13:00:03
2026-01-06,PGR,98.0,16.01,398225.72,11:13:07
2026-01-07,PGR,135.0,37.0,111350.00,09:26:06
2026-01-08,PGR,141.6,4.44,98450.01,12:50:36
2026-01-09,PGR,167,26,694923,12:47:05
2026-01-13,PGR,159,-8,603040,13:00:02
2026-01-14,PGR,155,-4,385231.3,12:39:05
2026-01-15,PGR,150,-5,505807,13:00:08
2026-01-16,PGR,150,0,492762,12:49:52
2026-01-20,PGR,135.9,-14.05,222575.65,12:50:14
2026-01-21,PGR,136,0,144158.85,12:33:49
2026-01-22,PGR,136,0,170652,12:45:34
2026-01-23,PGR,135,-1,1579799.78,12:52:35
2026-01-26,PGR,135,0,72230,13:00:06
2026-01-27,PGR,123,-12,211394,13:00:23
2026-01-28,PGR,123,0,56036.97,12:37:57
2026-01-29,PGR,123,0,30813,12:25:03
