fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,BVL,282.0,0.0,848781.26,--
2025-11-28,BVL,280.0,-2.0,650855.00,--
2025-12-01,BVL,280.0,0.0,163408.73,--
2025-12-02,BVL,274.0,-6.0,714735.00,--
2025-12-03,BVL,279.0,5.0,1322199.09,--
2025-12-04,BVL,279.0,0.0,815265.00,--
2025-12-06,BVL,284.9,5.9,226807.80,--
2025-12-09,BVL,280.0,-4.9,1250717.81,--
2025-12-10,BVL,279.95,-0.05,393254.90,--
2025-12-11,BVL,279.95,0.0,635574.30,--
2025-12-13,BVL,278.95,-1.0,189961.80,--
2025-12-15,BVL,270.0,-8.95,491633.90,--
2025-12-16,BVL,278.0,8.0,903404.88,--
2025-12-17,BVL,278.8,0.8,75852.95,--
2025-12-18,BVL,297.0,18.2,1977996.14,--
2025-12-19,BVL,299.99,2.99,1995723.19,--
2025-12-22,BVL,299.7,-0.29,2188072.63,--
2025-12-23,BVL,300.0,0.3,375999.94,--
2025-12-26,BVL,350.0,50.0,9640472.00,--
2025-12-29,BVL,485.0,135.0,2189103.00,--
2025-12-30,BVL,540.0,55.0,6693958.25,--
2026-01-02,BVL,585.0,45.0,298632.84,12:46:41
2026-01-05,BVL,701.0,116.0,1198504.50,13:00:03
2026-01-07,BVL,1000.01,299.01,1769610.18,12:47:41
2026-01-09,BVL,1250.0,151.0,3958685.0,13:00:17
