fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,ENV,221.0,0.0,85219.2,--
2025-11-28,ENV,216.99,-4.01,122102.47,--
2025-12-01,ENV,225.0,8.01,30141.81,--
2025-12-02,ENV,240.0,15.0,8189.76,--
2025-12-03,ENV,191.0,-49.0,31932.85,--
2025-12-04,ENV,223.0,32.0,78855.0,--
2025-12-06,ENV,219.99,-3.01,89265.7,--
2025-12-09,ENV,218.0,-1.99,199589.7,--
2025-12-10,ENV,217.9,-0.1,25340.06,--
2025-12-11,ENV,215.0,-2.9,53768.4,--
2025-12-13,ENV,215.0,0.0,38725.0,--
2025-12-15,ENV,210.0,-5.0,111814.48,--
2025-12-16,ENV,220.5,10.5,60541.09,--
2025-12-17,ENV,220.89,0.39,24077.48,--
2025-12-18,ENV,220.89,0.0,25623.24,--
2025-12-19,ENV,235.0,14.11,592728.48,--
2025-12-22,ENV,250.0,15.0,397170.0,--
2025-12-23,ENV,250.0,0.0,466313.9,--
2025-12-26,ENV,249.0,-1.0,4966408.92,--
2025-12-29,ENV,290.0,41.0,503050.0,--
2025-12-30,ENV,314.99,24.99,3827529.38,--
2026-01-02,ENV,335.0,20.01,46474.6,13:00:09
2026-01-05,ENV,350.0,15.0,790835.95,12:42:29
2026-01-06,ENV,401.0,41.1,855549.5,12:29:34
2026-01-07,ENV,360.0,0.0,41290.2,10:32:38
2026-01-08,ENV,360.0,0.0,19200.28,12:37:36
2026-01-09,ENV,490.0,130.0,150357.5,11:24:06
2026-01-13,ENV,490.0,0.0,165110.0,12:53:27
2026-01-14,ENV,500.0,10.0,370035.0,13:00:21
2026-01-15,ENV,500.0,0.0,420484.0,12:45:36
2026-01-16,ENV,500.0,0.0,154105.0,12:39:07
2026-01-20,ENV,495.0,-5.0,214270.0,12:44:52
2026-01-21,ENV,470.0,-25.0,328577.15,12:41:20
2026-01-22,ENV,464.95,-5.05,3000932.73,12:42:04
2026-01-23,ENV,430.0,-34.95,2236625.98,12:36:29
2026-01-26,ENV,430.0,0.0,355574.62,13:00:02
2026-01-27,ENV,430.0,0.0,1515303.5,12:48:28
2026-01-28,ENV,388.0,-42.0,4203704.07,12:17:44
2026-01-29,ENV,400.0,12.0,638652.0,12:50:05
2026-01-30,ENV,420.0,20.0,5099945.0,12:08:39
2026-02-02,ENV,467.0,47.0,1254368.47,13:00:28
2026-02-03,ENV,525.0,58.0,3766845.0,11:58:57
2026-02-04,ENV,630.0,105.0,1721056.39,12:54:56
2026-02-05,ENV,645.0,15.0,292050.0,13:00:24
2026-02-06,ENV,780.0,135.0,4571188.5,12:53:45
2026-02-09,ENV,780.0,0.0,617980.0,13:00:10
2026-02-10,ENV,750.0,-30.0,1679388.0,12:41:57
2026-02-11,ENV,790.0,40.0,1390018.0,13:00:15
2026-02-12,ENV,790.0,0.0,5424170.0,13:00:03
2026-02-13,ENV,770.0,-20.0,205854.0,12:51:34
2026-02-18,ENV,770.0,0.0,1965422.0,13:00:24
2026-02-19,ENV,770.0,0.0,731206.0,12:47:39
2026-02-20,ENV,770.0,0.0,78210112.31,12:53:15
