fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,ICP.B,15.0,0.0,4024.86,--
2025-11-28,ICP.B,16.14,1.14,3508.65,--
2025-12-01,ICP.B,13.99,-2.15,21223.72,--
2025-12-02,ICP.B,15.0,1.01,5866.48,--
2025-12-03,ICP.B,14.4,-0.6,65422.67,--
2025-12-04,ICP.B,14.43,0.03,23863.86,--
2025-12-06,ICP.B,13.5,-0.93,36197.71,--
2025-12-09,ICP.B,14.2,0.7,29996.80,--
2025-12-10,ICP.B,14.2,0.0,16265.86,--
2025-12-11,ICP.B,15.98,1.78,6835.84,--
2025-12-13,ICP.B,15.95,-0.03,6923.25,--
2025-12-15,ICP.B,15.9,-0.05,28600.24,--
2025-12-16,ICP.B,16.5,0.6,37332.45,--
2025-12-17,ICP.B,16.9,0.4,38340.20,--
2025-12-19,ICP.B,17.4,0.5,17836.97,--
2025-12-22,ICP.B,18.85,1.45,38183.66,--
2025-12-23,ICP.B,17.99,-0.86,5809.02,--
2025-12-29,ICP.B,17.0,-0.99,51142.90,--
2025-12-30,ICP.B,17.2,0.2,5585.65,--
2026-01-02,ICP.B,15.05,-2.15,26912.96,12:44:09
2026-01-05,ICP.B,15.05,0.0,26912.96,12:44:09
2026-01-06,ICP.B,20.0,4.95,48956.78,12:03:20
2026-01-07,ICP.B,24.99,4.99,95069.90,12:15:48
2026-01-08,ICP.B,28.5,3.51,140198,13:00:30
2026-01-09,ICP.B,34.1",5.69,295615,11:44:37
