fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-27,MPA,15.85,0.0,76142.67,--
2025-11-28,MPA,15.5,-0.35,91590.54,--
2025-12-01,MPA,15.9,0.4,176265.60,--
2025-12-02,MPA,15.0,-0.9,1395508.00,--
2025-12-03,MPA,15.9,0.9,70477.90,--
2025-12-04,MPA,15.5,-0.4,37990.50,--
2025-12-06,MPA,15.94,0.44,369776.53,--
2025-12-09,MPA,16.5,0.56,96552.05,--
2025-12-10,MPA,16.85,0.35,33110.30,--
2025-12-11,MPA,16.15,-0.7,1307981.86,--
2025-12-13,MPA,16.98,0.83,2595626.95,--
2025-12-15,MPA,16.25,-0.73,120449.03,--
2025-12-16,MPA,16.49,0.24,301272.14,--
2025-12-17,MPA,17.5,1.01,242214.31,--
2025-12-18,MPA,17.35,-0.15,17483.80,--
2025-12-19,MPA,18.0,0.65,192496.50,--
2025-12-22,MPA,18.75,0.75,286225.96,--
2025-12-23,MPA,18.75,0.0,138754.50,--
2025-12-29,MPA,24.0,5.25,296562.60,--
2025-12-30,MPA,27.0,3.0,138676.10,--
2026-01-02,MPA,28.5,1.5,379277.00,12:50:49
2026-01-05,MPA,28.5,0.0,379277.00,12:50:49
2026-01-06,MPA,40.7,12.2,943041.50,11:05:29
2026-01-07,MPA,48.8,8.1,244044.40,13:00:11
2026-01-08,MPA,47,-1.8,853901.2,13:00:30
2026-01-09,MPA,56.4,9.4,17865,12:24:28
2026-01-13,MPA,56,-.4,404416.92,13:00:01
2026-01-14,MPA,55,-1,443200.2,12:43:47
2026-01-15,MPA,53,-2,168730.01,12:54:23
2026-01-16,MPA,47.8,-5.12,467221.59,12:52:41
2026-01-20,MPA,45,-2.88,347363.5,13:00:20
2026-01-21,MPA,45,0,131332.38,12:41:20
2026-01-22,MPA,45,0,150762.22,13:00:19
2026-01-23,MPA,40.55,-4.45,3337134.11,12:50:04
